target_bias,lmm_coef,lmm_p
Anchoring,0.0007156055879993682,0.9075673216235449
Availability Heuristic,-0.0036678210213475586,0.20377604428687768
Bandwagon Effect,0.0005592640070237165,0.8868200971124031
Confirmation Bias,0.002270365455001378,0.000877986324853097
Framing Effect,0.00658427345913813,0.012519838262864165
In Group Bias,0.01432572196641689,0.025334879864957135
Loss Aversion,-0.0015337614915713158,0.6083446465682611
Planning Fallacy,0.001143881030298644,0.5082381780085768
Status Quo Bias,-0.017140518126629055,0.001644039131200988
