target_bias,human_bias,n,mean_delta,std_delta,t_stat,p_value,cohens_d,significant_05,p_bonferroni,significant_bonferroni
Anchoring,Anchoring,68,-0.1172794117647059,0.5159486187098198,-1.8744323945487704,0.0652311825868687,-0.22730831575955426,False,1.0,False
Anchoring,Availability Heuristic,71,0.048591549295774646,0.4732171762141283,0.8652257201492831,0.38987052080290063,0.1026834012700837,False,1.0,False
Anchoring,Bandwagon Effect,71,0.005533199195171019,0.5063567051355641,0.0920765236649678,0.9269002443835118,0.010927472922003025,False,1.0,False
Anchoring,Confirmation Bias,71,-0.012206572769953048,0.5474468717172535,-0.1878801682694117,0.8515141577320131,-0.022297273723321687,False,1.0,False
Anchoring,Framing Effect,21,-0.03968253968253967,0.43507586153566974,-0.41796904388458717,0.6804231607134166,-0.0912083227308118,False,1.0,False
Anchoring,In Group Bias,71,0.04201877934272301,0.49124767582898315,0.7207291666680371,0.47347627487062116,0.08553481537857918,False,1.0,False
Anchoring,Loss Aversion,65,0.043040293040293054,0.5251813927288554,0.6607277806437738,0.5111582915417503,0.08195319475181982,False,1.0,False
Anchoring,Planning Fallacy,51,0.003921568627450971,0.540684630150558,0.05179655591978219,0.958897183795656,0.007252968554156995,False,1.0,False
Anchoring,Status Quo Bias,71,0.06301140174379613,0.4422931510347014,1.2004334845993476,0.23401774168947556,0.142465243818318,False,1.0,False
Availability Heuristic,Anchoring,70,-0.07520408169304178,0.1781847631186246,-3.5311801011224873,0.000742151664532074,-0.4220567457887447,True,0.05937213316256593,False
Availability Heuristic,Availability Heuristic,70,-0.14596938755416078,0.2511900500344311,-4.861926324210959,7.0338551028378796e-06,-0.5811113416038617,True,0.0005627084082270304,True
Availability Heuristic,Bandwagon Effect,70,-0.10913265298438957,0.23296083322134975,-3.9194111335830155,0.00020648872156708433,-0.4684592298493241,True,0.016519097725366746,True
Availability Heuristic,Confirmation Bias,58,-0.12158593361695208,0.24718001582902532,-3.7461397523812496,0.0004206359026644717,-0.4918922458891699,True,0.03365087221315773,True
Availability Heuristic,Framing Effect,3,-0.1904761902040816,0.5947617132835212,-0.554700196225229,0.6348516283298893,-0.32025630707171265,False,1.0,False
Availability Heuristic,In Group Bias,70,-0.04620748318719368,0.2561719883322445,-1.5091405723614852,0.13582859652002455,-0.180376798055249,False,1.0,False
Availability Heuristic,Loss Aversion,64,-0.08547247019044141,0.2116324118626861,-3.2309784475129906,0.0019628036016910945,-0.4038723040307568,True,0.15702428813528757,False
Availability Heuristic,Planning Fallacy,36,-0.039451058142734724,0.331300671873553,-0.7144759095048008,0.4796713998243203,-0.11907931789137037,False,1.0,False
Availability Heuristic,Status Quo Bias,70,-0.11947278901394622,0.2122408405225183,-4.7096546819368115,1.2421916378798915e-05,-0.5629113989414257,True,0.0009937533103039132,True
Bandwagon Effect,Anchoring,63,-0.05714285714285714,0.3270059994971304,-1.3870001416137712,0.17040810720249994,-0.17474559199521048,False,1.0,False
Bandwagon Effect,Availability Heuristic,67,-0.062189054726368154,0.30753147288434207,-1.6552431096249036,0.10262315985422815,-0.20222013031991812,False,1.0,False
Bandwagon Effect,Bandwagon Effect,67,-0.16119402985074624,0.4024586481435092,-3.2784237713227444,0.001667725378548923,-0.40052320951181114,True,0.13341803028391383,False
Bandwagon Effect,Confirmation Bias,67,-0.09203980099502489,0.30704903436257536,-2.4536088894114454,0.016790892013759755,-0.2997560337108395,True,1.0,False
Bandwagon Effect,Framing Effect,23,0.014492753623188403,0.24346532056709963,0.28548133476995907,0.7779459495969673,0.05952697299929084,False,1.0,False
Bandwagon Effect,In Group Bias,67,-0.04129353233830845,0.3125376503777802,-1.0814765164363955,0.28342096963394164,-0.13212338467468307,False,1.0,False
Bandwagon Effect,Loss Aversion,54,-0.0993827160493827,0.38294296452236837,-1.9071007914444382,0.06193382274782746,-0.2595235452721159,False,1.0,False
Bandwagon Effect,Planning Fallacy,59,-0.016949152542372885,0.39369420817922535,-0.33068536004867194,0.7420738194422254,-0.04305156679268542,False,1.0,False
Bandwagon Effect,Status Quo Bias,67,0.051741293532338306,0.4410075540131006,0.9603480407109085,0.3403852065785191,0.11732518625627915,False,1.0,False
Confirmation Bias,Anchoring,69,0.015136875990588652,0.20130268375740212,0.6246133085090176,0.5343151123871166,0.07519460562004279,False,1.0,False
Confirmation Bias,Availability Heuristic,69,-0.030434782578260867,0.13990675600098024,-1.8069913023037545,0.07518758482423155,-0.21753618789153714,False,1.0,False
Confirmation Bias,Bandwagon Effect,69,-0.0069243156150116305,0.19655808667629807,-0.292624365115819,0.7707003378503587,-0.035227833648925955,False,1.0,False
Confirmation Bias,Confirmation Bias,68,-0.01086601306213009,0.14625234765865414,-0.6126632536397791,0.5421729938031745,-0.07429633207115761,False,1.0,False
Confirmation Bias,Framing Effect,10,-0.13999999985999997,0.25033311115658136,-1.7685190342396895,0.1107649215697673,-0.5592548211218302,False,1.0,False
Confirmation Bias,In Group Bias,69,0.02657004827683843,0.22335672301065415,0.9881385887128349,0.32658786299840536,0.1189579064365711,False,1.0,False
Confirmation Bias,Loss Aversion,63,-0.020811287455183226,0.1405809765439393,-1.1750129873144677,0.2444824852147588,-0.14803772045672786,False,1.0,False
Confirmation Bias,Planning Fallacy,20,-0.014444444430617282,0.15955998609599198,-0.40484786235375353,0.6901110302375308,-0.09052673350949472,False,1.0,False
Confirmation Bias,Status Quo Bias,69,-0.0072463768043478285,0.16320841419568924,-0.36881019143118116,0.7134150350573818,-0.044399529250126704,False,1.0,False
Framing Effect,Anchoring,67,-0.09427860679713929,0.20771225032843,-3.7152534540213007,0.0004200514681250482,-0.4538904479354376,True,0.033604117450003856,True
Framing Effect,Availability Heuristic,70,-0.008095238107619038,0.14112906939314296,-0.47991261892706016,0.6328073759292718,-0.05736052880578148,False,1.0,False
Framing Effect,Bandwagon Effect,70,-0.00428571429182539,0.11148556617093268,-0.32162780853787176,0.7487069858394917,-0.03844187548738409,False,1.0,False
Framing Effect,Confirmation Bias,60,0.065277777306713,0.17146460183449408,2.94894388324384,0.004564304827737515,0.3807070160697964,True,0.3651443862190012,False
Framing Effect,Framing Effect,5,-0.03999999998666665,0.08944271888383837,-1.0000000020833328,0.373900965405632,-0.44721359143165273,False,1.0,False
Framing Effect,In Group Bias,70,0.01761904740087303,0.17039042266453155,0.8651397440889194,0.38996006743163936,0.10340397671386628,False,1.0,False
Framing Effect,Loss Aversion,52,-0.06794871782136752,0.1763786696575718,-2.7780296413689047,0.007634800850902425,-0.38524339461252505,True,0.610784068072194,False
Framing Effect,Planning Fallacy,49,-0.01190476191921768,0.13475801327081108,-0.6183924162421142,0.5392402009033335,-0.08834177309331487,False,1.0,False
Framing Effect,Status Quo Bias,70,0.003333333305238104,0.11549097019579249,0.24147920195660738,0.8098999210057813,0.028862284823868052,False,1.0,False
In Group Bias,Anchoring,28,-0.095238094343254,0.4788286691294356,-1.052469616867673,0.30191262755199333,-0.19889806163342205,False,1.0,False
In Group Bias,Availability Heuristic,67,-0.20845771055240467,0.5837110818871651,-2.9231925722084338,0.004741709892819476,-0.35712481168136534,True,0.37933679142555804,False
In Group Bias,Bandwagon Effect,67,-0.3139303470529022,0.5349769244285484,-4.803255092112956,9.348976314754235e-06,-0.5868110046081432,True,0.0007479181051803388,True
In Group Bias,Confirmation Bias,38,-0.24736842028888884,0.6344765185336085,-2.4033692491022705,0.02137208123807155,-0.3898779744768563,True,1.0,False
In Group Bias,Framing Effect,4,0.21666666734444448,0.5666666626313727,0.7647058901906507,0.5000959773068964,0.3823529444205849,False,1.0,False
In Group Bias,In Group Bias,67,-0.02935323317097851,0.5753207956201062,-0.4176219082095188,0.6775790831549939,-0.051020636388294745,False,1.0,False
In Group Bias,Loss Aversion,67,-0.18407960111111113,0.5745253684685869,-2.6226108643667194,0.010824964351632797,-0.32040291150480865,True,0.8659971481306238,False
In Group Bias,Planning Fallacy,57,-0.2514619871345029,0.44898784543954684,-4.228391456278965,8.782972376216357e-05,-0.5600641289704944,True,0.0070263779009730855,True
In Group Bias,Status Quo Bias,67,-0.27014925254842453,0.5453857336630833,-4.054500872830947,0.00013505325579028925,-0.4953361178676805,True,0.01080426046322314,True
Loss Aversion,Anchoring,67,0.02338308457711443,0.3887307727064159,0.49236852237258594,0.6240927652526693,0.06015238864205337,False,1.0,False
Loss Aversion,Availability Heuristic,69,-0.051207729468599035,0.3966600638000836,-1.0723624241236964,0.28734835227944255,-0.12909726491979395,False,1.0,False
Loss Aversion,Bandwagon Effect,69,0.06328502415458936,0.3592450748106281,1.463304380957672,0.14799134933166525,0.17616114573536792,False,1.0,False
Loss Aversion,Confirmation Bias,68,0.06813725490196079,0.36352949305757865,1.5456082896466503,0.1269098471678188,0.18743253577980298,False,1.0,False
Loss Aversion,Framing Effect,28,0.04880952380952382,0.3647516933011004,0.7080864269210312,0.4849600338290121,0.13381575623122902,False,1.0,False
Loss Aversion,In Group Bias,69,-0.004347826086956519,0.39741456283607857,-0.09087678032731626,0.927857668535994,-0.010940278697863385,False,1.0,False
