bias,did_att,did_se,did_p,did_ci_lo,did_ci_hi,scm_actual,scm_synthetic,scm_gap,scm_p_placebo,psm_att_unmatched,psm_att_matched,psm_t_stat,psm_t_p,psm_n_diagonal,psm_n_offdiag
Anchoring,0.0064689625850324894,0.053363784557299024,0.9035137461660411,-0.09812213322602831,0.11106005839609329,-0.11727941176470588,-0.01143450406852533,-0.10584490769618055,0.0,,,,,,
Availability Heuristic,-0.10301851333999273,0.024157693881845056,2.004236071213314e-05,-0.15036672329795264,-0.05567030338203281,-0.14596938755416078,-0.10401955219514568,-0.0419498353590151,0.625,,,,,,
Bandwagon Effect,-0.07365792759051142,0.032190129505054926,0.02212502095548094,-0.13674942207809923,-0.0105664331029236,-0.16119402985074627,4.526937258345076e-06,-0.1611985567880046,0.0,,,,,,
Confirmation Bias,-0.011736934552364894,0.01730511939070734,0.49762281768980543,-0.045654345306317005,0.022180476201587217,-0.010866013062130085,0.023118284301171514,-0.0339842973633016,0.375,,,,,,
Framing Effect,-0.020500324906285394,0.014616525777987263,0.16075277164577384,-0.04914818901024172,0.008147539197670934,-0.03999999998666665,-0.04013143058441314,0.00013143059774648608,1.0,,,,,,
In Group Bias,-0.08499278472792182,0.07488836231021817,0.2564061278688453,-0.23177127771713624,0.06178570826129259,-0.029353233170978495,-0.1478762273257363,0.11852299415475781,0.5,,,,,,
Loss Aversion,0.01232439335887403,0.04363995592828134,0.7776285611736149,-0.07320834854747262,0.09785713526522068,0.04371584699453552,-0.003162226067017805,0.046878073061553324,0.375,,,,,,
Planning Fallacy,-0.015139504261641179,0.012424247342682167,0.2230169417461001,-0.0394905815883157,0.00921157306503334,0.008473531299618255,-0.013386406817271709,0.021859938116889965,0.0,,,,,,
Status Quo Bias,0.026078431347680175,0.010969467367232325,0.017436809054260986,0.004578670378317412,0.04757819231704294,0.008955223861442792,-0.023794611032463765,0.03274983489390656,0.5714285714285714,,,,,,
__GLOBAL__,-0.030569878566331227,0.012735864093660267,0.016381696257259968,-0.05553171350190221,-0.005608043630760246,,,,,-0.0176540573966735,-0.03023595965454729,-1.390571383201652,0.16495255418476423,519.0,3953.0
