target_bias,lmm_coef,lmm_p
Anchoring,0.011984325643563944,0.038923932606514014
Availability Heuristic,0.0025241810096038324,0.3917310391554345
Bandwagon Effect,0.013960045389086495,0.0010777296704847117
Confirmation Bias,-0.00042770088488226153,0.8271965681252189
Framing Effect,0.004130265724830314,0.0448517394930363
In Group Bias,9.944871762052862e-05,0.9894484983963123
Loss Aversion,0.008757378077609006,0.04423606613460208
Planning Fallacy,0.0008145438388999663,0.4593038061984398
Status Quo Bias,0.0013714682212726465,0.6476293785103187
