target_bias,lmm_coef,lmm_p
Anchoring,0.011985434315912535,0.1958200115447596
Availability Heuristic,0.009674829770372066,0.01662966851122577
Bandwagon Effect,0.005261855979469757,0.07172382959810898
Confirmation Bias,0.0006356432948529984,0.22691129662124054
Framing Effect,0.00938309975366461,0.0011474369732772576
In Group Bias,0.004610141961714479,0.36231346944315934
Loss Aversion,0.002844182521581849,0.39700452965233646
Planning Fallacy,-0.0067380577658585315,0.13177167499469128
Status Quo Bias,-0.015521789191991903,0.034721012566829496
