target_bias,human_bias,n,mean_delta,std_delta,t_stat,p_value,cohens_d,significant_05,p_bonferroni,significant_bonferroni
Anchoring,Anchoring,40,-0.18708333333333332,0.515051065152864,-2.2972846213384615,0.027054578762220078,-0.3632325911501135,True,1.0,False
Anchoring,Availability Heuristic,44,-0.1734848484848485,0.43182980338700366,-2.664865392443711,0.010802087448113963,-0.40174357286689794,True,0.8533649084010031,False
Anchoring,Bandwagon Effect,47,-0.06666666666666665,0.39876015577756596,-1.1461617551420595,0.2576557377766323,-0.1671848742497467,False,1.0,False
Anchoring,Confirmation Bias,47,-0.01879432624113476,0.4880778752763317,-0.2639894485762645,0.7929671700429171,-0.038506818593215864,False,1.0,False
Anchoring,Framing Effect,13,0.038461538461538464,0.4311582492512882,0.32163376045133846,0.7532635607854263,0.08920515481061132,False,1.0,False
Anchoring,In Group Bias,47,-0.21241134751773047,0.5618235931501324,-2.5919503017349754,0.012748467974405023,-0.37807480805259525,True,1.0,False
Anchoring,Loss Aversion,39,-0.15451770451770452,0.4055049183829156,-2.379657339985632,0.02245246872253207,-0.3810501356009309,True,1.0,False
Anchoring,Planning Fallacy,33,-0.09747474747474748,0.4915098834084778,-1.1392442191417855,0.2630578750094432,-0.1983169628257962,False,1.0,False
Anchoring,Status Quo Bias,47,-0.10319148936170214,0.5050904914603673,-1.400630621097921,0.1680343530672718,-0.20430297323365124,False,1.0,False
Availability Heuristic,Anchoring,34,-0.08497899151421943,0.1921021004290512,-2.579401320887097,0.01454068777323098,-0.4423636747441027,True,1.0,False
Availability Heuristic,Availability Heuristic,35,-0.08102040811388239,0.19823545949772955,-2.4179488355689944,0.02111590572315688,-0.40870794715766984,True,1.0,False
Availability Heuristic,Bandwagon Effect,34,-0.06904761901827815,0.18452462394460872,-2.1818949489908905,0.03634194097254399,-0.37419189465365454,True,1.0,False
Availability Heuristic,Confirmation Bias,30,-0.06238095245151267,0.1973167705159871,-1.7316041980112555,0.09397092539849061,-0.3161462250382422,False,1.0,False
Availability Heuristic,Framing Effect,1,,,,,,False,,
Availability Heuristic,In Group Bias,35,-0.11357142859090417,0.24056963505644913,-2.7929444730908393,0.008514514831679502,-0.4720937789682439,True,0.6726466717026807,False
Availability Heuristic,Loss Aversion,33,-0.05606060603207071,0.22368509111024323,-1.4397189448598462,0.15965879049566067,-0.2506228980357852,False,1.0,False
Availability Heuristic,Planning Fallacy,15,-0.04309523811012186,0.36488107671124753,-0.45742887245815944,0.6543808953911251,-0.11810762668330453,False,1.0,False
Availability Heuristic,Status Quo Bias,34,-0.09110644247508252,0.18294787035043147,-2.9037631450157186,0.006529105991181885,-0.49799126823711826,True,0.5157993733033689,False
Bandwagon Effect,Anchoring,60,0.013611111111111109,0.21772863746676155,0.4842321825006564,0.6300138057029513,0.06251410566363773,False,1.0,False
Bandwagon Effect,Availability Heuristic,66,0.00505050505050504,0.3159163810301069,0.12987771276476034,0.8970642672850655,0.01598684125859521,False,1.0,False
Bandwagon Effect,Bandwagon Effect,67,-0.12437810945273632,0.39541062872005506,-2.5747378270147494,0.012281386389691687,-0.3145542888940396,True,0.9702295247856433,False
Bandwagon Effect,Confirmation Bias,67,-0.07860696517412936,0.2552942115067746,-2.520330314106893,0.014150474578331412,-0.3079073528627031,True,1.0,False
Bandwagon Effect,Framing Effect,23,0.049999999999999996,0.33359837947429954,0.7188031804696147,0.4798278734964263,0.14988082354869825,False,1.0,False
Bandwagon Effect,In Group Bias,67,-0.054228855721393035,0.29409656336370316,-1.5093080633711289,0.13599277882188604,-0.1843913268375666,False,1.0,False
Bandwagon Effect,Loss Aversion,54,-0.01975308641975309,0.399450278364495,-0.3633867732294632,0.7177614300683333,-0.0494506761922391,False,1.0,False
Bandwagon Effect,Planning Fallacy,59,0.03785310734463277,0.3748030198931445,0.7757547807558586,0.44104556133872375,0.10099466982531233,False,1.0,False
Bandwagon Effect,Status Quo Bias,67,-0.12686567164179105,0.3953534328943559,-2.6266125209189246,0.010710633354698835,-0.32089179140832086,True,0.8461400350212079,False
Confirmation Bias,Anchoring,56,0.004336734680832255,0.2317585814331296,0.14002998510496728,0.8891478515829416,0.01871229378132546,False,1.0,False
