target_bias,lmm_coef,lmm_p
Anchoring,0.004283006264325617,0.5635083468121266
Availability Heuristic,-0.0008719033575127999,0.8121099273313152
Bandwagon Effect,-0.0023925798662237873,0.5831375483086285
Confirmation Bias,-0.0029968081948438525,0.3493661146321013
Framing Effect,0.005676529099024624,0.09988959268516118
In Group Bias,0.004660839004735401,0.31771123589602157
Loss Aversion,-0.0025788953014155036,0.6070224241919575
Planning Fallacy,0.009304370691240306,1.3342773732998141e-05
Status Quo Bias,0.010128595691696694,0.07912269572157891
