target_bias,lmm_coef,lmm_p
Anchoring,0.0009177083802155178,0.8754349083916039
Availability Heuristic,0.005926104959108898,0.012907913290550693
Bandwagon Effect,0.0014433101426021729,0.6158233222153748
Confirmation Bias,-0.0,
Framing Effect,0.011012435075515107,1.2521205165732557e-07
In Group Bias,-0.00572516941731242,0.09450049987192634
Loss Aversion,-0.003276894072880054,0.4265643250907566
Planning Fallacy,-0.0011446455093991486,0.565668778193094
Status Quo Bias,-0.0297715345174975,1.4923669354278418e-08
