target_bias,lmm_coef,lmm_p
Anchoring,-0.004741488397531226,0.41774142777929846
Availability Heuristic,0.0005469424131001651,0.871897819900976
Bandwagon Effect,0.004681496747524973,0.09661562996086973
Confirmation Bias,-0.0009522043229507471,0.5715892039849706
Framing Effect,0.0074389946062142975,0.007741376271331307
In Group Bias,0.004435306539776547,0.5226317838427287
Loss Aversion,0.003501853463612336,0.40916604993631844
Planning Fallacy,-0.005012481595896334,0.018528514721878334
Status Quo Bias,-0.005343838019928354,0.4961094666709671
