target_bias,lmm_coef,lmm_p
Anchoring,0.011529852439837798,0.22100548925614916
Availability Heuristic,-0.004940428006350545,0.12483693795310505
Bandwagon Effect,0.009094378848566167,0.08946311117518656
Confirmation Bias,0.01616516331713486,0.01840367353085466
Framing Effect,0.00692637714044041,0.05364320351251239
In Group Bias,-0.00444944562777757,0.6269329178887215
Loss Aversion,0.007205152813886865,0.2420370629069134
Planning Fallacy,-0.004469104280326263,0.19305928244190074
Status Quo Bias,-0.006155968637642422,0.47111344827209733
