target_bias,lmm_coef,lmm_p
Anchoring,-0.020832737647621138,0.0012459846947757791
Availability Heuristic,0.004767384687251845,0.10868213530694297
Bandwagon Effect,0.00866103783750654,0.010226106456719446
Confirmation Bias,-0.0022867527837832223,0.29816931311703176
Framing Effect,0.006871228082311425,0.003839604450857324
In Group Bias,-0.00024585158343369535,0.9712883501520607
Loss Aversion,-0.017779509987318958,0.001562197959781741
Planning Fallacy,0.0009084789592560195,0.5572597176094585
Status Quo Bias,-0.01482126623416776,0.010902051735048731
